Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[2],TargetAngle3,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree
0,0.000000,-3.61361742,-8.57887363,1.27100062,0,34.2498474,-33.9875717
1,0.001980,-3.61275101,-8.58163071,1.26823461,0,34.2498474,-33.9875717
2,0.003982,-3.61173701,-8.58329391,1.26482618,0,34.2279892,-33.9875717
3,0.005994,-3.61182404,-8.5840807,1.26161838,0,34.2279892,-33.9875717
4,0.007981,-3.61285114,-8.58399487,1.25961494,0,34.2279892,-33.9875717
5,0.010000,-3.61417079,-8.58403206,1.25706542,0,34.2279892,-33.9875717
6,0.011981,-3.61584663,-8.58430195,1.25495207,0,34.206131,-33.9875717
7,0.013981,-3.61746979,-8.58384418,1.25303924,0,34.1842766,-33.9657135
8,0.015983,-3.61945558,-8.58264732,1.25113118,0,34.1624184,-33.9657135
9,0.017981,-3.62167573,-8.57998943,1.24903595,0,34.1187057,-33.9657135
10,0.019982,-3.62280488,-8.57747459,1.24736571,0,34.0749931,-33.9875717
11,0.022001,-3.6236937,-8.57629967,1.24579489,0,34.0312805,-33.9657135
12,0.023981,-3.62491083,-8.57511997,1.24526787,0,34.0094223,-33.9875717
13,0.025981,-3.62695765,-8.57392025,1.24433839,0,34.0094223,-33.9657135
14,0.027981,-3.62888217,-8.57211494,1.24423099,0,34.0094223,-33.9657135
15,0.029984,-3.63147426,-8.56956673,1.24510098,0,34.0094223,-33.9657135
16,0.031997,-3.63394618,-8.56750774,1.24604714,0,34.0312805,-33.9657135
17,0.033981,-3.63567686,-8.56570625,1.2466501,0,34.0312805,-33.9657135
18,0.035981,-3.63779759,-8.5630455,1.24736071,0,34.0312805,-33.9657135
19,0.037981,-3.64070296,-8.55976009,1.24906695,0,34.0312805,-33.9657135
20,0.039981,-3.64282084,-8.55624962,1.25017309,0,34.0094223,-33.9657135
21,0.041996,-3.64413309,-8.55262947,1.25124609,0,34.0094223,-33.9657135
22,0.043980,-3.64555669,-8.54973698,1.25300372,0,34.0094223,-33.9657135
23,0.045982,-3.64649343,-8.54660988,1.25581801,0,33.9875679,-33.9657135
24,0.047981,-3.64762378,-8.54201603,1.25823712,0,33.9875679,-33.9438553
25,0.049983,-3.64963937,-8.53800774,1.25961506,0,33.9875679,-33.9438553
26,0.051979,-3.65218759,-8.53447723,1.26165247,0,33.9875679,-33.9438553
27,0.053999,-3.654567,-8.53155994,1.26420426,0,33.9657097,-33.9438553
28,0.055981,-3.65620589,-8.52793312,1.26669025,0,33.9657097,-33.9438553
29,0.057999,-3.65740061,-8.52419853,1.26839292,0,33.9438553,-33.9438553
30,0.059981,-3.65781093,-8.52108479,1.27051914,0,33.9219971,-33.9219971
