Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[2],TargetAngle3,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree
0,0.000000,-21.0391121,-6.70720577,14.5937719,-89.8970032,-0.961690903,-45.8777237
1,0.001985,-21.004303,-6.70052719,14.5931072,-89.8970032,-0.896121979,-45.8340149
2,0.003985,-20.9673824,-6.69292259,14.5923233,-89.8970032,-0.874263763,-45.7902985
3,0.005987,-20.9279175,-6.68445492,14.5913486,-89.8970032,-0.830551147,-45.7684402
4,0.007985,-20.8866863,-6.67857504,14.5901718,-89.8970032,-0.808694839,-45.746582
5,0.009986,-20.8480186,-6.67433262,14.5889511,-89.8970032,-0.786838531,-45.7247314
6,0.012003,-20.8089447,-6.67143536,14.5879383,-89.8970032,-0.743125916,-45.7028732
7,0.013986,-20.7675247,-6.67027664,14.5854387,-89.8970032,-0.699411392,-45.6591568
8,0.015988,-20.7263737,-6.67114878,14.5826626,-89.8970032,-0.655698776,-45.5935898
9,0.017999,-20.6856575,-6.67265463,14.5794621,-89.8970032,-0.61198616,-45.5498734
10,0.019987,-20.6454945,-6.67521667,14.5770359,-89.8970032,-0.590127945,-45.5280228
11,0.022003,-20.6045628,-6.67953682,14.5725603,-89.8970032,-0.568271637,-45.5061646
12,0.023986,-20.5654449,-6.68262815,14.5701952,-89.8970032,-0.546415329,-45.4624481
13,0.025988,-20.5266571,-6.68494368,14.5677195,-89.8970032,-0.502702713,-45.4405899
14,0.027987,-20.4877968,-6.6867137,14.5662289,-89.8970032,-0.458990097,-45.3968811
15,0.029987,-20.4482193,-6.68809032,14.5623884,-89.8970032,-0.415275574,-45.3531647
16,0.031996,-20.4072742,-6.68968391,14.5581999,-89.8970032,-0.371562958,-45.3313065
17,0.033986,-20.3662434,-6.69285154,14.5547781,-89.8970032,-0.34970665,-45.3094559
18,0.035985,-20.3264084,-6.69665337,14.550683,-89.8970032,-0.327850342,-45.2875977
19,0.037984,-20.2872009,-6.70086765,14.5470791,-89.8970032,-0.284135818,-45.2657394
20,0.039987,-20.2477131,-6.70612955,14.5433683,-89.8970032,-0.240423203,-45.2438812
21,0.041997,-20.2085838,-6.71232605,14.5400658,-89.8970032,-0.196710587,-45.222023
22,0.043985,-20.1693974,-6.71969509,14.5360804,-89.8970032,-0.152996063,-45.1783142
23,0.045985,-20.1303787,-6.72813129,14.5318184,-89.8970032,-0.131139755,-45.1345978
24,0.047985,-20.0904236,-6.73776007,14.5271759,-89.8970032,-0.109283447,-45.090889
25,0.049985,-20.0499992,-6.74722052,14.523221,-89.8970032,-0.0874271393,-45.0690308
26,0.052000,-20.0098667,-6.7556119,14.5186567,-89.8970032,-0.0437145233,-45.0471725
27,0.053985,-19.9698715,-6.76359463,14.5144405,-89.8970032,0,-45.0034637
28,0.055986,-19.930439,-6.77135849,14.5093861,-89.8970032,0.043712616,-44.9816055
29,0.057985,-19.8909435,-6.77869368,14.5054388,-89.8970032,0.0874252319,-44.9378891
30,0.059984,-19.8494854,-6.78629303,14.5012589,-89.8970032,0.109283447,-44.8941803
31,0.061985,-19.8070049,-6.79364538,14.4964857,-89.8970032,0.131139755,-44.8504639
32,0.063997,-19.7644215,-6.80234194,14.4912996,-89.8970032,0.131139755,-44.8286057
33,0.065987,-19.7228851,-6.81195164,14.4864454,-89.8970032,0.152996063,-44.8067474
34,0.067986,-19.682045,-6.82148695,14.4817619,-89.8970032,0.174852371,-44.7848969
35,0.070000,-19.6408825,-6.83124018,14.4767399,-89.8970032,0.218564987,-44.7630386
36,0.071987,-19.6003647,-6.84108257,14.4729815,-89.8970032,0.284135818,-44.7411804
37,0.073996,-19.5593319,-6.8510766,14.468214,-89.8970032,0.305992126,-44.6974716
38,0.075982,-19.5185394,-6.86039829,14.4630022,-89.8970032,0.349704742,-44.6537552
39,0.077987,-19.4781952,-6.86859894,14.4575281,-89.8970032,0.37156105,-44.6100388
40,0.079987,-19.4373093,-6.87678576,14.4521475,-89.8970032,0.393419266,-44.5881882
41,0.081987,-19.3960304,-6.88507175,14.4466648,-89.8970032,0.437131882,-44.56633
42,0.083995,-19.3562908,-6.89432335,14.4421377,-89.8970032,0.480844498,-44.56633
43,0.085985,-19.3173752,-6.90497065,14.4378967,-89.8970032,0.524559021,-44.5444717
44,0.087986,-19.2769985,-6.9161253,14.4336481,-89.8970032,0.546415329,-44.5226135
45,0.089985,-19.2356319,-6.92619467,14.4292183,-89.8970032,0.568271637,-44.4789047
46,0.091986,-19.1942577,-6.9357543,14.4249668,-89.8970032,0.590127945,-44.4351883
47,0.093986,-19.1523666,-6.94628477,14.4199076,-89.8970032,0.611984253,-44.3914719
48,0.095996,-19.1103382,-6.95782089,14.4147434,-89.8970032,0.633840561,-44.3477631
49,0.097986,-19.0698185,-6.9704361,14.4104939,-89.8970032,0.655696869,-44.3259048
50,0.099986,-19.0297489,-6.9837985,14.4060955,-89.8970032,0.699411392,-44.3259048
51,0.101984,-18.9907112,-6.99592686,14.4026718,-89.8970032,0.764980316,-44.3040466
52,0.103986,-18.9513874,-7.00728083,14.3991213,-89.8970032,0.808694839,-44.2603378
53,0.105997,-18.9117489,-7.01785946,14.3954573,-89.8970032,0.830551147,-44.216568
54,0.107985,-18.8732758,-7.02496099,14.3912277,-89.8970032,0.852407455,-44.1728516
55,0.109987,-18.8344975,-7.03151989,14.3863935,-89.8970032,0.874263763,-44.1291428
56,0.111985,-18.7963963,-7.03814507,14.3816195,-89.8970032,0.939832687,-44.1072845
57,0.113986,-18.7599506,-7.04531574,14.3775673,-89.8970032,0.983547211,-44.0854263
58,0.116001,-18.7238064,-7.05314589,14.3742037,-89.8970032,1.02725983,-44.0417175
59,0.117985,-18.6882954,-7.0608139,14.3708,-89.8970032,1.04911613,-44.0198593
60,0.119985,-18.65411,-7.06703281,14.3661966,-89.8970032,1.07102776,-43.9761429
61,0.121984,-18.6205978,-7.07148743,14.3603687,-89.8970032,1.09288406,-43.9324341
62,0.123998,-18.5879879,-7.07497215,14.3557158,-89.8970032,1.13659859,-43.8887177
63,0.125983,-18.5550919,-7.07926655,14.3503561,-89.8970032,1.1803112,-43.8668594
64,0.128001,-18.5237045,-7.08453417,14.3444796,-89.8970032,1.22402382,-43.8450089
65,0.129985,-18.4939899,-7.09011745,14.3385124,-89.8970032,1.24588013,-43.8450089
66,0.131987,-18.4642544,-7.09533644,14.3331671,-89.8970032,1.28959465,-43.8231506
67,0.133987,-18.4348297,-7.09885502,14.3271332,-89.8970032,1.31145096,-43.7794342
68,0.135981,-18.4055214,-7.09997368,14.3224678,-89.8970032,1.33330727,-43.7357254
69,0.138002,-18.376236,-7.10045719,14.3157463,-89.8970032,1.35516357,-43.6701508
70,0.139987,-18.3488197,-7.10181665,14.3091068,-89.8970032,1.39887619,-43.6482925
71,0.141986,-18.322298,-7.10566092,14.3028193,-89.8970032,1.44259071,-43.626442
72,0.143986,-18.2970467,-7.11006308,14.2965879,-89.8970032,1.48630333,-43.6045837
73,0.145987,-18.2717743,-7.11340141,14.2885523,-89.8970032,1.50815964,-43.6045837
74,0.148001,-18.2460728,-7.11425447,14.2808475,-89.8970032,1.53001595,-43.5608673
75,0.149987,-18.2198009,-7.11191654,14.2728949,-89.8970032,1.55187225,-43.5390167
76,0.151985,-18.1934547,-7.10921144,14.2647629,-89.8970032,1.57373047,-43.4953003
77,0.153986,-18.1686039,-7.1073575,14.2565155,-89.8970032,1.57373047,-43.4734421
78,0.155986,-18.1446419,-7.10701799,14.2485981,-89.8970032,1.61744308,-43.4297333
79,0.157985,-18.1221867,-7.10852432,14.2405758,-89.8970032,1.6611557,-43.4078751
80,0.159998,-18.0995388,-7.11105633,14.2323427,-89.8970032,1.70487022,-43.3860168
81,0.161983,-18.0767441,-7.1127367,14.2245054,-89.8970032,1.72672653,-43.3641586
82,0.163982,-18.0542755,-7.11223507,14.2175627,-89.8970032,1.74858284,-43.3423004
83,0.165988,-18.0312176,-7.11040354,14.2099838,-89.8970032,1.77043915,-43.3204498
84,0.167987,-18.0089264,-7.10713053,14.2028561,-89.8970032,1.79229546,-43.2767334
85,0.169999,-17.9857712,-7.1039567,14.195776,-89.8970032,1.79229546,-43.2330246
86,0.171986,-17.9625626,-7.10204601,14.1876526,-89.8970032,1.83600998,-43.1893082
87,0.173985,-17.9396439,-7.10142136,14.1805229,-89.8970032,1.85786629,-43.1455917
88,0.175997,-17.9165611,-7.10144186,14.1746435,-89.8970032,1.9015789,-43.1237411
89,0.177986,-17.8930206,-7.10082674,14.1696644,-89.8970032,1.94529152,-43.1237411
90,0.179986,-17.8703651,-7.09849739,14.1650848,-89.8970032,1.96714783,-43.0800247
91,0.182003,-17.8480911,-7.09592009,14.1613989,-89.8970032,1.98900604,-43.0581665
92,0.183987,-17.8253479,-7.09246445,14.15658,-89.8970032,2.01086235,-43.0144577
93,0.185988,-17.8021774,-7.08689356,14.1515579,-89.8970032,2.03271866,-42.9925995
94,0.187985,-17.7790337,-7.08217525,14.1466627,-89.8970032,2.05457497,-42.9488831
95,0.189987,-17.7552147,-7.07922888,14.142127,-89.8970032,2.07643127,-42.9270248
96,0.191997,-17.7311745,-7.07806206,14.1379871,-89.8970032,2.1201458,-42.9270248
97,0.193986,-17.7078762,-7.07805634,14.1337643,-89.8970032,2.14200211,-42.9270248
98,0.195980,-17.6834068,-7.07808971,14.1296492,-89.8970032,2.16385841,-42.9270248
99,0.197987,-17.6580372,-7.07661247,14.1251478,-89.8970032,2.20757103,-42.9051743
100,0.199987,-17.6330643,-7.07461977,14.1211166,-89.8970032,2.22942734,-42.9051743
101,0.201998,-17.6084518,-7.07274389,14.1160707,-89.8970032,2.25128365,-42.8614578
102,0.203987,-17.5838432,-7.07086134,14.1111145,-89.8970032,2.27314186,-42.8395996
103,0.205982,-17.559391,-7.06896353,14.1061821,-89.8970032,2.27314186,-42.7958908
104,0.207987,-17.5339546,-7.07236767,14.100461,-89.8970032,2.29499817,-42.7521744
105,0.209987,-17.5095787,-7.07761765,14.0951815,-89.8970032,2.31685448,-42.6866074
106,0.211996,-17.4855862,-7.08389425,14.0885735,-89.8970032,2.36056709,-42.6647491
107,0.213985,-17.4610996,-7.08904552,14.0830812,-89.8970032,2.40428162,-42.6428909
108,0.215986,-17.4363098,-7.09412718,14.0787735,-89.8970032,2.42613792,-42.6210327
109,0.217986,-17.4119339,-7.09874392,14.0738373,-89.8970032,2.46985054,-42.5773239
110,0.219986,-17.3859634,-7.10352373,14.0680456,-89.8970032,2.49170685,-42.5336075
111,0.221986,-17.3579865,-7.10611057,14.0625467,-89.8970032,2.51356316,-42.5117493
112,0.224003,-17.3278046,-7.10862303,14.0561523,-89.8970032,2.55727768,-42.4680405
113,0.225988,-17.2963314,-7.11374903,14.0496912,-89.8970032,2.57913399,-42.4680405
114,0.227985,-17.2658119,-7.12254524,14.0422621,-89.8970032,2.6228466,-42.4461823
115,0.229983,-17.2358932,-7.13364506,14.0352116,-89.8970032,2.64470291,-42.4461823
116,0.231988,-17.2047272,-7.14652348,14.0283432,-89.8970032,2.66655922,-42.4461823
117,0.233999,-17.1722679,-7.15947247,14.020813,-89.8970032,2.71027374,-42.424324
118,0.235988,-17.1410046,-7.17159557,14.0139742,-89.8970032,2.73213005,-42.424324
119,0.237986,-17.1110115,-7.18436766,14.0057697,-89.8970032,2.73213005,-42.4024734
120,0.239985,-17.0820065,-7.19837379,13.9974089,-89.8970032,2.75398636,-42.3806152
121,0.241984,-17.0534611,-7.21390009,13.9879999,-89.8970032,2.75398636,-42.3150406
122,0.243999,-17.0253582,-7.2311821,13.9798689,-89.8970032,2.77584267,-42.2713318
123,0.245987,-16.9953861,-7.24920845,13.970355,-89.8970032,2.79769897,-42.2276154
124,0.247985,-16.9666233,-7.26646185,13.9611712,-89.8970032,2.8414135,-42.1839066
125,0.249984,-16.938467,-7.28341341,13.9519129,-89.8970032,2.88512611,-42.1620483
126,0.251982,-16.9113522,-7.29860973,13.9438839,-89.8970032,2.90698242,-42.1620483
127,0.254125,-16.8848076,-7.31366158,13.93575,-89.8970032,2.95069504,-42.1401901
128,0.256003,-16.8574944,-7.32683277,13.9271936,-89.8970032,2.99440956,-42.0964737
129,0.258010,-16.8290253,-7.33798981,13.9174976,-89.8970032,3.03812218,-42.0527649
130,0.260015,-16.798605,-7.34900951,13.9071093,-89.8970032,3.08183479,-42.0090485
131,0.261981,-16.7685223,-7.36077547,13.896554,-89.8970032,3.10369301,-41.9871979
132,0.264160,-16.7396374,-7.37431049,13.8852491,-89.8970032,3.14740562,-41.9871979
133,0.266096,-16.712347,-7.3892827,13.8745565,-89.8970032,3.19111824,-41.9871979
134,0.267996,-16.6849461,-7.40452194,13.863328,-89.8970032,3.19111824,-41.9653358
