Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[2],TargetAngle3,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree
0,0.000000,-8.79497719,13.3588104,9.51282692,-89.9079895,25.3540459,-25.1573334
1,0.001988,-8.79838181,13.3375406,9.51179028,-89.9079895,25.3759003,-25.2010498
2,0.003984,-8.80227184,13.3137398,9.51120663,-89.9079895,25.3977585,-25.2447624
3,0.005983,-8.8066597,13.2897596,9.50916958,-89.9079895,25.4196129,-25.2666168
4,0.007985,-8.81033993,13.2654018,9.50652027,-89.9079895,25.4196129,-25.288475
5,0.010014,-8.81352615,13.2424507,9.50482178,-89.9079895,25.4414711,-25.3103294
6,0.012026,-8.81583309,13.2180986,9.50333023,-89.9079895,25.4633293,-25.3103294
7,0.014086,-8.81872082,13.1928511,9.50130939,-89.9079895,25.5070419,-25.3321877
8,0.016180,-8.82213211,13.1674519,9.49875546,-89.9079895,25.5507545,-25.3977585
9,0.018179,-8.82621002,13.1427908,9.49764252,-89.9079895,25.5726089,-25.4414711
10,0.020180,-8.8302021,13.1178675,9.49653435,-89.9079895,25.5944672,-25.4633255
11,0.022191,-8.83332348,13.0926752,9.49626446,-89.9079895,25.5944672,-25.5070419
12,0.024000,-8.83634186,13.0687342,9.49677753,-89.9079895,25.5944672,-25.5070419
13,0.026179,-8.83988762,13.046237,9.49544716,-89.9079895,25.5944672,-25.5070419
14,0.027985,-8.84403229,13.0240784,9.49312019,-89.9079895,25.6163254,-25.5070419
15,0.029983,-8.84818363,13.0013952,9.49168301,-89.9079895,25.6163254,-25.5070419
16,0.031984,-8.85168457,12.9790897,9.49081802,-89.9079895,25.6163254,-25.5070419
17,0.033985,-8.85397434,12.9570732,9.49044228,-89.9079895,25.6381798,-25.5288963
18,0.035998,-8.85589123,12.9359875,9.49117661,-89.9079895,25.6381798,-25.5288963
19,0.037998,-8.85810184,12.9155703,9.49286175,-89.9079895,25.6818924,-25.5288963
20,0.039983,-8.85801792,12.8962612,9.49502563,-89.9079895,25.7037506,-25.5507545
21,0.041984,-8.85848713,12.8793077,9.49744034,-89.9079895,25.7693214,-25.5726089
22,0.043984,-8.85936737,12.8636885,9.49988461,-89.9079895,25.7911758,-25.5944672
23,0.045998,-8.85884476,12.848608,9.50259209,-89.9079895,25.8348885,-25.6381798
24,0.047982,-8.8582449,12.8308191,9.50498104,-89.9079895,25.8567467,-25.6818924
25,0.049983,-8.8598156,12.807909,9.50434017,-89.9079895,25.8567467,-25.725605
26,0.051987,-8.86413002,12.7834606,9.50311661,-89.9079895,25.8786049,-25.7474632
27,0.053986,-8.86951256,12.7611694,9.502038,-89.9079895,25.9004593,-25.7693214
28,0.056000,-8.87327003,12.7398262,9.50131035,-89.9079895,25.9441719,-25.7911758
29,0.057988,-8.877491,12.7171841,9.49965096,-89.9079895,25.9660301,-25.7911758
30,0.059983,-8.88233089,12.694025,9.49672699,-89.9079895,26.0097427,-25.8130341
31,0.061988,-8.88765812,12.6708384,9.4953022,-89.9079895,26.031601,-25.8567467
32,0.063985,-8.89425755,12.6475077,9.49441719,-89.9079895,26.0534554,-25.8786011
33,0.065982,-8.90185356,12.6232138,9.49363613,-89.9079895,26.0753136,-25.9223175
34,0.068000,-8.90803146,12.5980473,9.49319172,-89.9079895,26.0753136,-25.9441719
35,0.069989,-8.91356087,12.573761,9.49314499,-89.9079895,26.0753136,-25.9660301
36,0.071983,-8.91890335,12.5509291,9.49317169,-89.9079895,26.097168,-25.9878845
37,0.073983,-8.92307854,12.5302553,9.49382782,-89.9079895,26.097168,-25.9878845
38,0.075982,-8.9262228,12.5098953,9.49345303,-89.9079895,26.097168,-25.9878845
39,0.078000,-8.92852879,12.4881611,9.49435902,-89.9079895,26.1190262,-26.0097427
40,0.079983,-8.93076706,12.4669266,9.49598598,-89.9079895,26.1409378,-26.0097427
41,0.081984,-8.9341898,12.4467649,9.49735641,-89.9079895,26.1846504,-26.0097427
42,0.083985,-8.93827343,12.4276953,9.49935627,-89.9079895,26.228363,-26.0315971
43,0.085982,-8.94053173,12.4105644,9.50188541,-89.9079895,26.2720757,-26.0753136
44,0.088001,-8.94159698,12.3942595,9.50554943,-89.9079895,26.3157883,-26.1190262
45,0.090000,-8.9429245,12.3778019,9.50775623,-89.9079895,26.3376465,-26.1627388
46,0.091984,-8.94635391,12.3576956,9.50718212,-89.9079895,26.3595047,-26.184597
47,0.093984,-8.95005798,12.3349934,9.50596333,-89.9079895,26.4032173,-26.2283096
48,0.095983,-8.95381165,12.314291,9.50639725,-89.9079895,26.4250717,-26.2283096
49,0.098000,-8.95729065,12.2950325,9.50577736,-89.9079895,26.4687843,-26.250164
50,0.099983,-8.96106434,12.2747049,9.50460434,-89.9079895,26.5125008,-26.2720222
51,0.101983,-8.96482277,12.2532568,9.5027895,-89.9079895,26.5343552,-26.2938766
52,0.103984,-8.96955776,12.2288828,9.50141811,-89.9079895,26.5343552,-26.3157349
53,0.105983,-8.97456551,12.204052,9.49956512,-89.9079895,26.5562134,-26.3595009
54,0.107997,-8.98056316,12.1778793,9.49738503,-89.9079895,26.5562134,-26.4032173
55,0.109982,-8.98722744,12.1519232,9.49541855,-89.9079895,26.5562134,-26.4250717
56,0.111983,-8.99085331,12.126811,9.49414635,-89.9079895,26.5562134,-26.4469299
57,0.113983,-8.99293613,12.1021814,9.49321556,-89.9079895,26.5780678,-26.4687843
58,0.115985,-8.99524879,12.0768442,9.49130154,-89.9079895,26.5780678,-26.4687843
59,0.118002,-8.99752235,12.0514984,9.49062443,-89.9079895,26.599926,-26.4906425
60,0.119983,-8.99848461,12.0259371,9.49151421,-89.9079895,26.6436386,-26.4906425
61,0.121983,-8.99965763,12.0004101,9.49269104,-89.9079895,26.6873512,-26.5125008
62,0.123984,-9.00173092,11.9755306,9.49417686,-89.9079895,26.7310638,-26.5343552
63,0.125984,-9.00362587,11.9515114,9.49578381,-89.9079895,26.7747803,-26.5780678
64,0.128032,-9.00493908,11.9287796,9.49796581,-89.9079895,26.7966347,-26.6217804
65,0.129984,-9.0051651,11.9051218,9.49978542,-89.9079895,26.8184929,-26.6654968
66,0.131984,-9.0055809,11.8811255,9.50069618,-89.9079895,26.8403473,-26.6873512
67,0.133983,-9.00845909,11.8591528,9.50075436,-89.9079895,26.8622055,-26.6873512
68,0.135989,-9.01079559,11.8391914,9.50108147,-89.9079895,26.8622055,-26.6873512
69,0.137983,-9.01341915,11.8173981,9.50118923,-89.9079895,26.9059181,-26.7092094
70,0.140001,-9.01622963,11.7937536,9.50014305,-89.9079895,26.9496307,-26.6873512
71,0.141981,-9.01788616,11.7695503,9.50041103,-89.9079895,26.9933434,-26.6873512
72,0.144001,-9.01940155,11.7462187,9.50043106,-89.9079895,26.9933434,-26.7092094
73,0.145982,-9.02221394,11.7233677,9.49946308,-89.9079895,27.0152016,-26.7092094
74,0.147988,-9.02592182,11.6999178,9.49817467,-89.9079895,27.0152016,-26.7092094
75,0.150061,-9.02890968,11.6755934,9.49753475,-89.9079895,27.0152016,-26.7310638
76,0.151982,-9.03090763,11.6524649,9.49706841,-89.9079895,27.0152016,-26.7529221
77,0.153984,-9.03219318,11.6321974,9.496912,-89.9079895,27.0152016,-26.7747765
