Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,TargetAngle1,TargetAngle2
55,0.109964,-33.7947655,-23.5678482,-44.3477631,0.633896351,-43.3204231,1.67957771
56,0.111962,-33.7593918,-23.580595,-44.3040543,0.655752659,-43.2917709,1.70822787
57,0.113963,-33.7235146,-23.5930099,-44.2384796,0.699466228,-43.2632751,1.73672307
58,0.115963,-33.6873512,-23.6055584,-44.1947708,0.721322536,-43.2345734,1.76542628
59,0.117979,-33.6510544,-23.618166,-44.1510544,0.765036106,-43.2060242,1.79397404
60,0.119963,-33.6150093,-23.6305313,-44.1510544,0.786892414,-43.1773605,1.82263887
61,0.121961,-33.5799026,-23.6427002,-44.1291962,0.808749199,-43.1486702,1.85133004
62,0.123964,-33.5458412,-23.6549816,-44.107338,0.852462292,-43.1199532,1.88004744
63,0.125962,-33.5125313,-23.6670132,-44.0636292,0.852462292,-43.091301,1.90869963
64,0.127979,-33.479557,-23.6779518,-44.0199127,0.852462292,-43.062439,1.93756056
65,0.129963,-33.4468384,-23.6878471,-43.9762039,0.874319077,-43.0336418,1.96635628
66,0.131959,-33.4136772,-23.6983051,-43.9324875,0.896175385,-43.0048218,1.9951781
67,0.133961,-33.379982,-23.7097778,-43.9324875,0.918032169,-42.9760666,2.02393413
68,0.135961,-33.3460732,-23.7217693,-43.9106293,0.961745262,-42.9472847,2.05271602
69,0.137961,-33.3120422,-23.73419,-43.9106293,0.983602047,-42.918293,2.08170748
70,0.139974,-33.2785873,-23.7458363,-43.9106293,1.02731514,-42.8892746,2.11072469
71,0.141959,-33.246376,-23.7552338,-43.9106293,1.07102823,-42.8604164,2.13958406
72,0.143963,-33.2149315,-23.7624149,-43.8887787,1.09288502,-42.8315315,2.16846895
73,0.145959,-33.1839867,-23.7687626,-43.8887787,1.1147418,-42.8025284,2.19747186
74,0.147963,-33.1537857,-23.7756062,-43.8450623,1.13659811,-42.7734985,2.22650003
75,0.149980,-33.12323,-23.7838936,-43.7794952,1.1803112,-42.7444458,2.2555542
76,0.151962,-33.0911179,-23.7944069,-43.7357788,1.22402477,-42.7154579,2.28454161
77,0.153959,-33.0582314,-23.8062229,-43.6920624,1.26773787,-42.6862602,2.3137393
78,0.155962,-33.0260201,-23.8172436,-43.6702118,1.28959417,-42.6572227,2.34277749
79,0.157964,-32.9947853,-23.8265247,-43.6483536,1.31145096,-42.6279755,2.37202621
80,0.159974,-32.9645538,-23.8341312,-43.6264954,1.31145096,-42.5988846,2.40111542
81,0.161958,-32.9349251,-23.8402042,-43.5608749,1.33330774,-42.5696793,2.43032241
82,0.163963,-32.9043007,-23.8455048,-43.4953003,1.33330774,-42.5404434,2.45955491
83,0.165964,-32.8727951,-23.8502598,-43.4734421,1.37702084,-42.5111885,2.48881269
84,0.167961,-32.8408813,-23.8549862,-43.4515915,1.39887762,-42.4819984,2.51800275
85,0.169990,-32.8086624,-23.8607101,-43.4515915,1.44259071,-42.4527817,2.54721785
86,0.171958,-32.7757187,-23.8675404,-43.4515915,1.48630381,-42.4234505,2.5765512
87,0.173963,-32.7424774,-23.8753586,-43.4297333,1.50816059,-42.3940887,2.60590982
88,0.175963,-32.7092667,-23.8833885,-43.4297333,1.55187368,-42.3647079,2.63529348
89,0.177961,-32.6768951,-23.8898888,-43.4078751,1.57373047,-42.335392,2.66460872
90,0.179963,-32.6452179,-23.8948364,-43.4078751,1.59558678,-42.3059578,2.69404244
91,0.181974,-32.6136627,-23.8995171,-43.3641586,1.63929987,-42.2765923,2.72340751
92,0.183962,-32.5817795,-23.9047203,-43.2767334,1.70486975,-42.2472038,2.75279737
