Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[2],TargetAngle3,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree
0,0.000000,-17.0802059,1.27408326,11.4763288,-89.8970032,11.540451,-33.6378632
1,0.001989,-17.0622044,1.2842747,11.480443,-89.8970032,11.5841637,-33.6160049
2,0.003992,-17.0454102,1.29333568,11.4853001,-89.8970032,11.6060219,-33.5941467
3,0.005984,-17.0287819,1.3017925,11.4884968,-89.8970032,11.6278782,-33.5504341
4,0.007990,-17.0121784,1.3107239,11.4909811,-89.8970032,11.6715908,-33.5067215
5,0.009999,-16.9942875,1.32110846,11.4942837,-89.8970032,11.6934471,-33.4629555
6,0.011989,-16.9756413,1.33310664,11.497858,-89.8970032,11.7371597,-33.4410973
7,0.013984,-16.9574261,1.34546912,11.5013294,-89.8970032,11.8027306,-33.4410973
8,0.016006,-16.9390316,1.35781145,11.5047722,-89.8970032,11.8246422,-33.4192429
9,0.017990,-16.9203682,1.36750805,11.5080709,-89.8970032,11.8464985,-33.3755264
10,0.020017,-16.9011326,1.37633252,11.512537,-89.8970032,11.8683548,-33.353672
11,0.022016,-16.8816547,1.38508618,11.5171986,-89.8970032,11.9120674,-33.3099594
12,0.024019,-16.8625793,1.3942827,11.520772,-89.8970032,11.9339256,-33.2443886
13,0.026019,-16.8427658,1.40383565,11.5235701,-89.8970032,11.9776382,-33.2225304
14,0.028015,-16.8223228,1.41302395,11.5259285,-89.8970032,12.0213509,-33.1788177
15,0.030026,-16.8024349,1.42133319,11.527914,-89.8970032,12.0869217,-33.1569633
16,0.032146,-16.7835255,1.42909765,11.5293884,-89.8970032,12.108778,-33.1132469
17,0.033991,-16.7650337,1.43621266,11.5319929,-89.8970032,12.108778,-33.0695343
18,0.035987,-16.7452488,1.44195557,11.5345583,-89.8970032,12.1306343,-33.0258217
19,0.037985,-16.7241726,1.44854999,11.5361843,-89.8970032,12.1743469,-32.9821091
20,0.039988,-16.7014084,1.45601046,11.5383949,-89.8970032,12.2399178,-32.9602509
21,0.042003,-16.6792583,1.46394098,11.5406437,-89.8970032,12.2836304,-32.9383965
22,0.043990,-16.656395,1.47188783,11.5413218,-89.8970032,12.3054867,-32.9165382
23,0.045985,-16.6340923,1.4782517,11.5424356,-89.8970032,12.327343,-32.8946838
24,0.047989,-16.6125565,1.48290467,11.5443716,-89.8970032,12.3492012,-32.8728256
25,0.049985,-16.5907516,1.48687577,11.5462122,-89.8970032,12.3929138,-32.829113
26,0.052003,-16.5681095,1.4900533,11.5466118,-89.8970032,12.4366264,-32.7635422
27,0.054001,-16.5444126,1.49401248,11.5454712,-89.8970032,12.4803391,-32.7416878
28,0.055988,-16.5209198,1.49877167,11.5459108,-89.8970032,12.5240536,-32.6761169
29,0.057985,-16.4975739,1.50245976,11.5469246,-89.8970032,12.5459099,-32.6542587
30,0.059985,-16.4754543,1.50515485,11.547822,-89.8970032,12.5677662,-32.6105461
31,0.062014,-16.4535561,1.5059936,11.5476561,-89.8970032,12.5896225,-32.5668335
32,0.063999,-16.4324665,1.50521755,11.5480661,-89.8970032,12.633337,-32.5231209
33,0.065985,-16.4090271,1.5051837,11.5484972,-89.8970032,12.6770496,-32.5012627
34,0.067987,-16.3846149,1.50717926,11.5488167,-89.8970032,12.7207623,-32.4794083
35,0.069991,-16.359457,1.50953448,11.5494709,-89.8970032,12.7644749,-32.45755
36,0.071989,-16.3335857,1.51116073,11.5513325,-89.8970032,12.7863331,-32.4138374
37,0.074007,-16.3080254,1.51162946,11.5516148,-89.8970032,12.8081894,-32.3919792
38,0.075985,-16.2819691,1.51011872,11.552351,-89.8970032,12.8300457,-32.3264122
39,0.077991,-16.2559853,1.5086112,11.5530605,-89.8970032,12.8737583,-32.2826958
40,0.079984,-16.2281742,1.5068512,11.5534258,-89.8970032,12.9393291,-32.2389832
41,0.081986,-16.1994381,1.50503337,11.5539474,-89.8970032,12.9830418,-32.2171288
42,0.084001,-16.1714478,1.503016,11.5551987,-89.8970032,13.0048981,-32.1952705
43,0.085985,-16.144474,1.49984646,11.5566339,-89.8970032,13.0486126,-32.1515579
44,0.087990,-16.1178589,1.49562657,11.5571833,-89.8970032,13.0704689,-32.1078453
45,0.089985,-16.0892296,1.49034262,11.5575352,-89.8970032,13.1141815,-32.0641327
46,0.091990,-16.0604286,1.48586774,11.5586329,-89.8970032,13.1578941,-32.0204201
47,0.093985,-16.0307331,1.48246622,11.5591822,-89.8970032,13.2016087,-31.9985619
48,0.096005,-16.0000992,1.47925115,11.5602665,-89.8970032,13.2453213,-31.9767036
49,0.097984,-15.9703913,1.47574532,11.5623207,-89.8970032,13.2671776,-31.9548492
50,0.099988,-15.9404783,1.470227,11.5633068,-89.8970032,13.2890339,-31.932991
51,0.101988,-15.9105539,1.46296799,11.5644102,-89.8970032,13.3108902,-31.8892784
52,0.103984,-15.8789721,1.45497286,11.565073,-89.8970032,13.3546047,-31.8455658
53,0.106000,-15.8462238,1.44758487,11.5643215,-89.8970032,13.3983192,-31.8018532
54,0.107985,-15.8135481,1.43998051,11.5642185,-89.8970032,13.4420319,-31.7581406
55,0.109989,-15.7813826,1.43225431,11.5639038,-89.8970032,13.4638863,-31.7362823
56,0.111988,-15.749259,1.4239186,11.5630579,-89.8970032,13.4857445,-31.7144241
57,0.114003,-15.7169247,1.41527987,11.5624714,-89.8970032,13.5075989,-31.6707115
58,0.116000,-15.6851606,1.40610874,11.5630646,-89.8970032,13.5294571,-31.6269989
59,0.117986,-15.6527567,1.39627612,11.5627365,-89.8970032,13.5513153,-31.5832863
60,0.119990,-15.6190739,1.38777542,11.5617437,-89.8970032,13.5950279,-31.5395737
61,0.121991,-15.5829573,1.38076687,11.5609169,-89.8970032,13.6387405,-31.5177155
62,0.123985,-15.5467644,1.37489152,11.5613489,-89.8970032,13.6824532,-31.4740028
63,0.126007,-15.5113192,1.36871171,11.5607958,-89.8970032,13.7261658,-31.4302902
64,0.127992,-15.4765482,1.36181104,11.5605831,-89.8970032,13.748024,-31.408432
65,0.129992,-15.4415436,1.35410798,11.5605249,-89.8970032,13.7698784,-31.3647194
66,0.131988,-15.4075823,1.34597838,11.5601149,-89.8970032,13.7917366,-31.3210068
67,0.133992,-15.3745394,1.33826411,11.5593843,-89.8970032,13.8354492,-31.2991486
68,0.136001,-15.3425188,1.33137047,11.5572596,-89.8970032,13.9010201,-31.2772942
69,0.137985,-15.3102188,1.32553685,11.5539656,-89.8970032,13.9447327,-31.2554359
70,0.139991,-15.2779789,1.31971693,11.5507145,-89.8970032,13.9665909,-31.2335815
71,0.141988,-15.2485561,1.31409168,11.5491295,-89.8970032,13.9884453,-31.1898689
72,0.143984,-15.2178955,1.30845082,11.5465164,-89.8970032,14.0103035,-31.1461525
73,0.145999,-15.187047,1.30314684,11.544651,-89.8970032,14.0321579,-31.1242981
74,0.147985,-15.1574383,1.29858935,11.5431089,-89.8970032,14.0758705,-31.1024399
75,0.149990,-15.1296186,1.29489565,11.5406532,-89.8970032,14.1195869,-31.0587273
76,0.151988,-15.102356,1.29132235,11.5384331,-89.8970032,14.1632996,-31.036869
77,0.153992,-15.076231,1.28872752,11.5362911,-89.8970032,14.2070122,-30.9931564
78,0.155985,-15.0505867,1.28661144,11.533061,-89.8970032,14.2070122,-30.971302
79,0.158006,-15.024909,1.28448999,11.5298042,-89.8970032,14.2288666,-30.9275894
80,0.159991,-15.0009394,1.28380525,11.5268745,-89.8970032,14.272583,-30.9057312
81,0.161991,-14.9775124,1.28519535,11.5253983,-89.8970032,14.3162956,-30.8620186
82,0.163986,-14.9531536,1.2863977,11.5238237,-89.8970032,14.3600082,-30.818306
83,0.166001,-14.9278221,1.28777766,11.5207624,-89.8970032,14.4255791,-30.7745934
84,0.168000,-14.9034166,1.29047072,11.5175667,-89.8970032,14.4474335,-30.7527351
85,0.169985,-14.8802843,1.29369962,11.5152121,-89.8970032,14.4474335,-30.7308769
86,0.171988,-14.8569527,1.29604852,11.5133667,-89.8970032,14.4692917,-30.7090225
87,0.173985,-14.8331871,1.29793036,11.5102091,-89.8970032,14.4911461,-30.6653099
88,0.175989,-14.8104029,1.30049837,11.507041,-89.8970032,14.5567169,-30.6434517
89,0.178001,-14.78687,1.30352437,11.5043631,-89.8970032,14.5785751,-30.5997391
90,0.179984,-14.7636795,1.30662525,11.5021839,-89.8970032,14.6222878,-30.5778809
91,0.181988,-14.7411346,1.31037188,11.498951,-89.8970032,14.6660004,-30.5341682
92,0.183985,-14.7197447,1.31312752,11.4963923,-89.8970032,14.6878586,-30.5341682
93,0.185989,-14.7002506,1.31577659,11.4932327,-89.8970032,14.7315712,-30.4904556
94,0.188007,-14.6824684,1.31876457,11.4908342,-89.8970032,14.7315712,-30.4685974
95,0.189986,-14.6631851,1.32191789,11.4887609,-89.8970032,14.7752838,-30.4248848
96,0.191988,-14.643857,1.32591307,11.4867659,-89.8970032,14.8189964,-30.4030304
97,0.193990,-14.6237974,1.33100033,11.4836893,-89.8970032,14.862709,-30.3593178
98,0.195991,-14.6040087,1.33726871,11.4810715,-89.8970032,14.9064217,-30.3156013
99,0.198002,-14.586195,1.34456313,11.4791183,-89.8970032,14.9282799,-30.2937469
100,0.199984,-14.5682936,1.35189331,11.4775066,-89.8970032,14.9501381,-30.2718887
101,0.201985,-14.5490627,1.36111403,11.4759026,-89.8970032,14.9938507,-30.2500343
102,0.203991,-14.5310211,1.3680625,11.4740257,-89.8970032,15.0157051,-30.2281761
103,0.205985,-14.5156193,1.3720268,11.4721212,-89.8970032,15.0594177,-30.1844635
104,0.207990,-14.4996195,1.37734628,11.4703875,-89.8970032,15.1249886,-30.1626053
105,0.210004,-14.482255,1.38537705,11.4685774,-89.8970032,15.1249886,-30.1188927
106,0.211987,-14.4646235,1.39449501,11.4671726,-89.8970032,15.1468468,-30.0970383
107,0.213992,-14.4486084,1.40407538,11.4660492,-89.8970032,15.1468468,-30.0751801
108,0.215992,-14.4346008,1.41380632,11.4652252,-89.8970032,15.1687012,-30.0533218
109,0.218004,-14.420599,1.42352676,11.4643192,-89.8970032,15.1905594,-30.0314674
110,0.219999,-14.4048815,1.43338978,11.4658918,-89.8970032,15.2124138,-30.0096092
111,0.221989,-14.3895798,1.44345665,11.4676142,-89.8970032,15.234272,-29.9658966
112,0.223992,-14.3737373,1.45540154,11.4685917,-89.8970032,15.2998428,-29.922184
113,0.225992,-14.3572922,1.46921325,11.4707422,-89.8970032,15.3435555,-29.9002724
114,0.227984,-14.3427773,1.48391342,11.4734545,-89.8970032,15.3654137,-29.8565598
115,0.230000,-14.3299484,1.49849403,11.4757357,-89.8970032,15.3873215,-29.8128471
116,0.231989,-14.317111,1.51136851,11.4779749,-89.8970032,15.4091797,-29.7909889
117,0.233984,-14.3040333,1.52330399,11.4805946,-89.8970032,15.4528923,-29.7472763
118,0.236040,-14.2926579,1.53516662,11.4842806,-89.8970032,15.4966049,-29.7254181
119,0.238006,-14.2809114,1.54718149,11.4882908,-89.8970032,15.5403175,-29.7035637
120,0.239985,-14.2679033,1.56081533,11.4919014,-89.8970032,15.5621758,-29.6598511
121,0.241986,-14.2540407,1.57640517,11.494421,-89.8970032,15.584034,-29.6379929
122,0.243994,-14.2391043,1.59119058,11.4972982,-89.8970032,15.6058884,-29.6161385
123,0.246176,-14.2252169,1.60510349,11.4999475,-89.8970032,15.6277466,-29.5942802
124,0.248094,-14.2123537,1.61835039,11.5032711,-89.8970032,15.6277466,-29.5942802
125,0.249988,-14.1994286,1.62957668,11.5063047,-89.8970032,15.6277466,-29.5942802
126,0.252005,-14.1860704,1.63983035,11.5102968,-89.8970032,15.649601,-29.572422
127,0.254044,-14.1733227,1.65033293,11.5129786,-89.8970032,15.649601,-29.5505676
128,0.255984,-14.1609077,1.66129172,11.5151129,-89.8970032,15.6714592,-29.5287094
129,0.257989,-14.1486607,1.67143214,11.5177612,-89.8970032,15.6933174,-29.4849968
130,0.259984,-14.1361742,1.68066061,11.520422,-89.8970032,15.7588844,-29.4412842
131,0.261985,-14.1249332,1.68952668,11.5221691,-89.8970032,15.8244553,-29.3975716
132,0.263999,-14.1144457,1.69793475,11.5240202,-89.8970032,15.8463135,-29.3538589
133,0.265992,-14.1049862,1.70494103,11.5269461,-89.8970032,15.8681679,-29.3320007
134,0.267984,-14.0951385,1.71024966,11.5293751,-89.8970032,15.8900261,-29.3101463
135,0.269992,-14.0867128,1.71397257,11.5306559,-89.8970032,15.9337387,-29.2882881
136,0.271989,-14.0794697,1.71662867,11.5325251,-89.8970032,15.9774513,-29.2445755
137,0.273999,-14.0712957,1.71954918,11.534152,-89.8970032,16.0211639,-29.2227173
138,0.275984,-14.0606241,1.7252177,11.5351505,-89.8970032,16.0430222,-29.1790047
139,0.278004,-14.0474329,1.7326411,11.5364742,-89.8970032,16.0867348,-29.1571465
140,0.279992,-14.0339489,1.74003232,11.5377922,-89.8970032,16.0867348,-29.1352921
141,0.281988,-14.0222673,1.74594295,11.5370121,-89.8970032,16.0867348,-29.1134338
142,0.284003,-14.011507,1.74918127,11.5374908,-89.8970032,16.1085892,-29.1134338
143,0.285984,-13.9993095,1.75112534,11.5373859,-89.8970032,16.1085892,-29.0915794
144,0.287990,-13.9871292,1.75331187,11.5377464,-89.8970032,16.1304474,-29.0697212
145,0.289984,-13.9752531,1.75617218,11.5380831,-89.8970032,16.1523056,-29.0478668
146,0.291986,-13.9626541,1.75889587,11.5383024,-89.8970032,16.17416,-29.0260086
147,0.294004,-13.9510241,1.76046538,11.5373936,-89.8970032,16.2178726,-28.9604378
148,0.295985,-13.9413471,1.76280355,11.5366383,-89.8970032,16.2834435,-28.9167252
149,0.297988,-13.9319811,1.76420689,11.5350914,-89.8970032,16.3271561,-28.8730125
150,0.299985,-13.9239511,1.76551962,11.5331659,-89.8970032,16.3490143,-28.8511543
151,0.301992,-13.916297,1.76541245,11.5313787,-89.8970032,16.3708687,-28.8292999
152,0.303985,-13.9113503,1.76471424,11.5284157,-89.8970032,16.4364395,-28.8074417
153,0.306000,-13.9085121,1.76377463,11.5261078,-89.8970032,16.4582977,-28.7637291
154,0.307985,-13.9049416,1.76377809,11.5240211,-89.8970032,16.5020103,-28.7200165
155,0.309989,-13.89816,1.76637673,11.522006,-89.8970032,16.545723,-28.6763039
