Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,TargetAngle1,TargetAngle2
0,0,-9.69015884,-2.22600317,-8.96137238,8.74280548,-6.953269,6.953269
1,0.001984,-9.69077873,-2.22570825,-8.96137238,8.74280548,-6.94238281,6.94238281
2,0.003989,-9.69095802,-2.22224283,-8.96137238,8.74280548,-6.93150949,6.93150949
3,0.005991,-9.69180012,-2.21730447,-8.96137238,8.74280548,-6.92064953,6.92064953
4,0.007991,-9.69192219,-2.21357417,-8.96137238,8.74280548,-6.90980244,6.90980244
5,0.010002,-9.69166374,-2.21191716,-8.96137238,8.74280548,-6.89896822,6.89896822
6,0.011988,-9.69147015,-2.21136141,-8.96137238,8.74280548,-6.88814735,6.88814735
7,0.013987,-9.69123077,-2.21080804,-8.93951797,8.72094917,-6.87733936,6.87733936
8,0.015984,-9.69094563,-2.21025515,-8.93951797,8.72094917,-6.86654472,6.86654472
9,0.017985,-9.69014835,-2.20921707,-8.93951797,8.72094917,-6.85576296,6.85576296
10,0.020001,-9.68876648,-2.2087853,-8.93951797,8.69909286,-6.84499454,6.84499454
11,0.021983,-9.68767548,-2.20896506,-8.93951797,8.69909286,-6.83423948,6.83423948
12,0.023991,-9.6871233,-2.20853686,-8.93951797,8.67723656,-6.8234973,6.8234973
13,0.025989,-9.68619347,-2.20701075,-8.91765976,8.67723656,-6.81276798,6.81276798
14,0.027992,-9.68412018,-2.20560503,-8.91765976,8.65538025,-6.8020525,6.8020525
15,0.029999,-9.68216419,-2.20407891,-8.91765976,8.63352394,-6.79134989,6.79134989
16,0.031984,-9.68035698,-2.20303988,-8.89580154,8.58980942,-6.78066015,6.78066015
17,0.033987,-9.6792717,-2.20139647,-8.89580154,8.56795311,-6.76998377,6.76998377
18,0.035984,-9.67741299,-2.20011783,-8.87394714,8.5460968,-6.75932074,6.75932074
19,0.037984,-9.67519569,-2.19872069,-8.85208893,8.52424049,-6.74867105,6.74867105
20,0.039986,-9.67336559,-2.197088,-8.80837631,8.50238419,-6.73803473,6.73803473
21,0.041999,-9.67232037,-2.19461107,-8.7646637,8.50238419,-6.72741127,6.72741127
22,0.043987,-9.67127037,-2.19152308,-8.74280548,8.52424049,-6.71680117,6.71680117
23,0.045991,-9.67097473,-2.18806553,-8.72095108,8.52424049,-6.70620441,6.70620441
24,0.047985,-9.6707468,-2.18265796,-8.72095108,8.52424049,-6.69562054,6.69562054
25,0.049989,-9.670681,-2.17615461,-8.72095108,8.52424049,-6.68505049,6.68505049
26,0.051999,-9.67090607,-2.16989589,-8.72095108,8.52424049,-6.67449379,6.67449379
27,0.053988,-9.67165947,-2.16400385,-8.72095108,8.50238419,-6.66394997,6.66394997
28,0.055984,-9.67308521,-2.16018391,-8.72095108,8.52424049,-6.65341949,6.65341949
