Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[2],TargetAngle3,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree
62,0.123918,-7.51810694,-35.5176659,16.1429882,0,32.8073082,-12.8081894
63,0.125934,-7.50246525,-35.5096359,16.1307449,0,32.8510246,-12.7644768
64,0.127918,-7.48664808,-35.5022163,16.118536,0,32.8947372,-12.7426224
65,0.129914,-7.47094822,-35.4962311,16.107584,0,32.9384499,-12.6989059
66,0.131918,-7.45493793,-35.490551,16.0971317,0,32.9603081,-12.6770515
67,0.133918,-7.4396677,-35.4830322,16.0867901,0,32.9821625,-12.6551933
68,0.13592,-7.42539167,-35.4746819,16.0773563,0,32.9821625,-12.6114807
69,0.137934,-7.41146564,-35.4662094,16.0685177,0,33.0040207,-12.5677681
70,0.139917,-7.39729738,-35.4568901,16.0590668,0,33.0040207,-12.5240555
71,0.141913,-7.38266706,-35.4470978,16.0497417,0,33.0040207,-12.5021973
72,0.143919,-7.3677907,-35.4369507,16.04076,0,33.0258751,-12.5021973
73,0.145914,-7.35289335,-35.4266739,16.0313797,0,33.0258751,-12.5021973
74,0.147928,-7.33795738,-35.4173584,16.0218029,0,33.0477333,-12.4803429
75,0.14992,-7.32246304,-35.4093056,16.0123997,0,33.1133041,-12.4803429
76,0.151917,-7.30657959,-35.4014397,16.0037689,0,33.1570168,-12.4584846
77,0.153916,-7.29043913,-35.3923378,15.9949512,0,33.2007294,-12.4366264
78,0.155917,-7.27361631,-35.3818359,15.9845419,0,33.244442,-12.3929138
79,0.157934,-7.25634098,-35.3711967,15.973629,0,33.2663002,-12.3492012
80,0.159916,-7.23927927,-35.3616943,15.9632807,0,33.3100128,-12.3054886
81,0.161917,-7.22226191,-35.3535118,15.9529285,0,33.3537254,-12.261776
82,0.163913,-7.20523739,-35.3462067,15.9426594,0,33.397438,-12.2399178
